Date,Electricity consumption(MW),Electricity production(MW),Electricity consumption player(MW),Electricity consumption Industrial Zones(MW),Electricity consumption Commercial Zones (MW),Electricity consumption Residential Zones(MW),Electricity consumption Office Zones(MW),Temperature(°C)
2025-08-19T16:59:33,160,276,15.248,37.568,5.024,99.984,2.88,28.09509
2025-08-19T17:09:00,160,276,15.248,38.096,4.832,99.824,2.976,27.14351
2025-08-19T17:21:01,160,276,15.248,36.832,5.04,99.904,3.024,26.13822
2025-08-19T17:33:00,162,276,15.248,38.32,5.536,99.984,3.024,25.33159
2025-08-19T17:45:09,165,276,15.248,42,5.552,99.952,3.024,25.05897
2025-08-19T17:57:05,164,276,15.248,41.248,5.52,99.904,3.008,24.89969
2025-08-19T18:09:05,164,276,15.248,40.464,5.488,99.92,3.008,24.747
2025-08-19T18:21:00,164,276,15.248,40.768,5.504,99.984,3.008,24.6033
2025-08-19T18:33:04,166,276,15.248,43.056,5.584,99.984,3.008,24.46619
2025-08-19T18:45:03,166,276,15.248,43.024,5.616,99.984,3.008,24.33733
2025-08-19T18:57:02,165,276,15.248,41.888,5.648,99.968,3.008,23.89652
2025-08-19T19:09:02,165,276,15.248,41.088,5.856,100,3.008,23.32969
2025-08-19T19:21:08,165,276,15.248,41.712,5.856,100,3.008,22.78913
2025-08-19T19:33:03,165,276,15.248,41.472,5.968,100.048,3.008,22.28431
2025-08-19T19:45:09,166,276,15.248,42.208,6.064,100.016,3.008,21.80014
2025-08-19T19:57:07,165,276,15.248,40.896,6,100.016,3.008,21.34633
2025-08-19T20:09:02,163,276,15.248,39.104,5.888,100.032,3.008,20.91652
2025-08-19T20:21:02,163,276,15.248,39.344,5.824,100.112,3.008,20.50768
2025-08-19T20:33:01,163,276,15.248,38.976,5.776,100.064,3.008,20.12057
2025-08-19T20:45:00,164,276,15.712,39.36,5.728,100.32,3.04,19.75601
2025-08-19T20:57:00,166,272,16.544,40.496,5.584,101.328,3.024,19.4095
2025-08-19T21:09:09,170,263,16.976,42.416,5.536,102.192,3.04,19.07611
2025-08-19T21:21:01,170,254,17.328,41.344,5.52,103.648,3.056,18.76818
2025-08-19T21:33:03,175,245,17.584,43.952,5.552,104.912,3.072,18.47435
2025-08-19T21:45:08,177,236,17.456,45.472,5.664,105.36,3.184,18.19268
2025-08-19T21:57:05,183,230,17.616,49.968,5.552,107.104,3.2,17.92986
2025-08-19T22:09:07,169,208,17.648,36.24,4.304,108.048,3.184,17.6794
2025-08-19T22:21:04,167,202,17.648,34.4,4.24,108.288,3.248,17.44353
2025-08-19T22:33:02,170,240,17.776,35.68,4.304,109.44,3.28,17.2212
2025-08-19T22:45:07,172,240,17.904,36.048,4.576,110.624,3.328,17.00664
2025-08-19T22:57:06,173,240,17.904,35.968,4.576,111.264,3.328,16.8068
2025-08-19T23:09:04,175,240,18.016,36.256,4.656,112.864,3.36,16.61669
2025-08-19T23:21:03,175,240,18,36.112,4.832,113.136,3.376,16.43733
2025-08-19T23:33:06,175,240,18.064,35.504,4.992,113.552,3.392,16.26499
2025-08-19T23:45:00,176,240,18.112,34.848,4.96,115.264,3.424,16.1054
2025-08-19T23:57:04,179,240,18.32,36.8,5.136,115.472,3.44,15.95189
2025-08-20T00:09:03,181,240,18.272,38.912,5.008,116.016,3.44,15.80721
2025-08-20T00:21:06,181,240,18.352,38.192,5.232,116.512,3.456,15.66949
2025-08-20T00:33:03,181,240,18.368,37.184,5.376,116.752,3.536,15.54062
2025-08-20T00:45:04,181,240,18.4,37.056,5.376,117.296,3.536,15.41724
2025-08-20T00:57:06,180,240,18.448,35.968,5.392,117.312,3.584,15.30096
2025-08-20T01:09:02,185,240,18.528,40.144,5.232,118.304,3.552,15.19137
2025-08-20T01:21:02,184,240,18.496,38.688,5.472,118.384,3.616,15.08699
2025-08-20T01:33:03,187,240,18.512,40.672,5.44,119.248,3.6,14.98828
2025-08-20T01:45:04,187,240,18.624,40.016,5.504,119.328,3.616,14.89513
2025-08-20T01:57:02,187,240,18.608,40.32,5.392,119.136,3.616,14.80621
2025-08-20T02:09:07,186,240,18.576,38.976,5.36,119.792,3.472,14.72196
2025-08-20T02:21:07,187,240,18.688,40.048,5.664,119.984,3.584,14.6425
2025-08-20T02:33:04,188,240,18.64,40.272,5.376,120.448,3.68,14.56746
2025-08-20T02:45:07,190,240,18.688,41.648,5.568,120.688,3.648,14.49638
2025-08-20T02:57:00,190,240,18.672,41.84,5.472,120.848,3.568,14.42949
2025-08-20T03:09:04,188,240,18.8,39.68,5.44,120.752,3.616,14.36545
2025-08-20T03:21:00,189,240,18.704,40.464,5.36,121.392,3.616,14.30502
2025-08-20T03:33:06,190,240,18.8,40.8,5.232,122.032,3.584,14.2479
2025-08-20T03:45:06,189,240,18.768,39.36,5.664,121.856,3.712,14.19347
2025-08-20T03:57:03,190,240,18.768,40.608,5.472,122.208,3.712,14.14244
2025-08-20T04:09:03,194,240,18.832,43.792,5.36,122.928,3.68,14.09389
2025-08-20T04:21:00,197,240,18.88,46.096,5.504,122.848,3.68,14.04821
2025-08-20T04:33:00,196,240,18.912,44.784,5.712,123.136,3.712,14.00477
2025-08-20T04:45:10,196,240,18.848,44.848,5.68,122.976,3.776,13.96294
2025-08-20T04:57:01,197,240,18.976,45.36,5.632,123.712,3.744,13.9244
2025-08-20T05:09:04,199,240,18.88,47.952,5.328,123.488,3.776,13.88715
2025-08-20T05:21:10,197,240,18.912,46.336,5.584,123.104,3.696,13.85209
