Electricity consumption(MW),Electricity production(MW),Electricity consumption player(MW),Electricity consumption Industrial Zones(MW),Electricity consumption Commercial Zones (MW),Electricity consumption Residential Zones(MW),Electricity consumption Office Zones(MW),Temperature(°C)
160,276,15.248,37.568,5.024,99.984,2.88,28.09509
160,276,15.248,38.096,4.832,99.824,2.976,27.14351
160,276,15.248,36.832,5.04,99.904,3.024,26.13822
162,276,15.248,38.32,5.536,99.984,3.024,25.33159
165,276,15.248,42,5.552,99.952,3.024,25.05897
164,276,15.248,41.248,5.52,99.904,3.008,24.89969
164,276,15.248,40.464,5.488,99.92,3.008,24.747
164,276,15.248,40.768,5.504,99.984,3.008,24.6033
166,276,15.248,43.056,5.584,99.984,3.008,24.46619
166,276,15.248,43.024,5.616,99.984,3.008,24.33733
165,276,15.248,41.888,5.648,99.968,3.008,23.89652
165,276,15.248,41.088,5.856,100,3.008,23.32969
165,276,15.248,41.712,5.856,100,3.008,22.78913
165,276,15.248,41.472,5.968,100.048,3.008,22.28431
166,276,15.248,42.208,6.064,100.016,3.008,21.80014
165,276,15.248,40.896,6,100.016,3.008,21.34633
163,276,15.248,39.104,5.888,100.032,3.008,20.91652
163,276,15.248,39.344,5.824,100.112,3.008,20.50768
163,276,15.248,38.976,5.776,100.064,3.008,20.12057
164,276,15.712,39.36,5.728,100.32,3.04,19.75601
166,272,16.544,40.496,5.584,101.328,3.024,19.4095
170,263,16.976,42.416,5.536,102.192,3.04,19.07611
170,254,17.328,41.344,5.52,103.648,3.056,18.76818
175,245,17.584,43.952,5.552,104.912,3.072,18.47435
177,236,17.456,45.472,5.664,105.36,3.184,18.19268
183,230,17.616,49.968,5.552,107.104,3.2,17.92986
169,208,17.648,36.24,4.304,108.048,3.184,17.6794
167,202,17.648,34.4,4.24,108.288,3.248,17.44353
170,240,17.776,35.68,4.304,109.44,3.28,17.2212
172,240,17.904,36.048,4.576,110.624,3.328,17.00664
173,240,17.904,35.968,4.576,111.264,3.328,16.8068
175,240,18.016,36.256,4.656,112.864,3.36,16.61669
175,240,18,36.112,4.832,113.136,3.376,16.43733
175,240,18.064,35.504,4.992,113.552,3.392,16.26499
